participantId,date,venueId,amount,business
0,2022-03-01,262,38.00537955363991,School
0,2022-04-01,262,38.00537955363991,School
0,2022-05-01,262,38.00537955363991,School
0,2022-06-01,262,38.00537955363991,School
0,2022-07-01,262,38.00537955363991,School
0,2022-08-01,262,38.00537955363991,School
0,2022-09-01,262,38.00537955363991,School
0,2022-10-01,262,38.00537955363991,School
0,2022-11-01,262,38.00537955363991,School
0,2022-12-01,262,38.00537955363991,School
0,2023-01-01,262,38.00537955363991,School
0,2023-02-01,262,38.00537955363991,School
0,2023-03-01,262,38.00537955363991,School
0,2023-04-01,262,38.00537955363991,School
0,2023-05-01,262,38.00537955363991,School
1,2022-03-01,262,38.00537955363991,School
1,2022-04-01,262,38.00537955363991,School
1,2022-05-01,262,38.00537955363991,School
1,2022-06-01,262,38.00537955363991,School
1,2022-07-01,262,38.00537955363991,School
1,2022-08-01,262,38.00537955363991,School
1,2022-09-01,262,38.00537955363991,School
1,2022-10-01,262,38.00537955363991,School
1,2022-11-01,262,38.00537955363991,School
1,2022-12-01,262,38.00537955363991,School
1,2023-01-01,262,38.00537955363991,School
1,2023-02-01,262,38.00537955363991,School
1,2023-03-01,262,38.00537955363991,School
1,2023-04-01,262,38.00537955363991,School
1,2023-05-01,262,38.00537955363991,School
2,2022-03-01,662,12.812445018190989,School
2,2022-04-01,662,12.812445018190989,School
2,2022-05-01,662,12.812445018190989,School
2,2022-06-01,662,12.812445018190989,School
2,2022-07-01,662,12.812445018190989,School
2,2022-08-01,662,12.812445018190989,School
2,2022-09-01,662,12.812445018190989,School
2,2022-10-01,662,12.812445018190989,School
2,2022-11-01,662,12.812445018190989,School
2,2022-12-01,662,12.812445018190989,School
2,2023-01-01,662,12.812445018190989,School
2,2023-02-01,662,12.812445018190989,School
2,2023-03-01,662,12.812445018190989,School
2,2023-04-01,662,12.812445018190989,School
2,2023-05-01,662,12.812445018190989,School
3,2022-03-01,262,38.00537955363991,School
3,2022-04-01,262,38.00537955363991,School
3,2022-05-01,262,38.00537955363991,School
3,2022-06-01,262,38.00537955363991,School
3,2022-07-01,262,38.00537955363991,School
3,2022-08-01,262,38.00537955363991,School
3,2022-09-01,262,38.00537955363991,School
3,2022-10-01,262,38.00537955363991,School
3,2022-11-01,262,38.00537955363991,School
3,2022-12-01,262,38.00537955363991,School
3,2023-01-01,262,38.00537955363991,School
3,2023-02-01,262,38.00537955363991,School
3,2023-03-01,262,38.00537955363991,School
3,2023-04-01,262,38.00537955363991,School
3,2023-05-01,262,38.00537955363991,School
4,2022-03-01,662,12.812445018190989,School
4,2022-04-01,662,12.812445018190989,School
4,2022-05-01,662,12.812445018190989,School
4,2022-06-01,662,12.812445018190989,School
4,2022-07-01,662,12.812445018190989,School
4,2022-08-01,662,12.812445018190989,School
4,2022-09-01,662,12.812445018190989,School
4,2022-10-01,662,12.812445018190989,School
4,2022-11-01,662,12.812445018190989,School
4,2022-12-01,662,12.812445018190989,School
4,2023-01-01,662,12.812445018190989,School
4,2023-02-01,662,12.812445018190989,School
4,2023-03-01,662,12.812445018190989,School
4,2023-04-01,662,12.812445018190989,School
4,2023-05-01,662,12.812445018190989,School
5,2022-03-01,662,12.812445018190989,School
5,2022-04-01,662,12.812445018190989,School
5,2022-05-01,662,12.812445018190989,School
5,2022-06-01,662,12.812445018190989,School
5,2022-07-01,662,12.812445018190989,School
5,2022-08-01,662,12.812445018190989,School
5,2022-09-01,662,12.812445018190989,School
5,2022-10-01,662,12.812445018190989,School
5,2022-11-01,662,12.812445018190989,School
5,2022-12-01,662,12.812445018190989,School
5,2023-01-01,662,12.812445018190989,School
5,2023-02-01,662,12.812445018190989,School
5,2023-03-01,662,12.812445018190989,School
5,2023-04-01,662,12.812445018190989,School
5,2023-05-01,662,12.812445018190989,School
6,2022-03-01,662,12.812445018190989,School
6,2022-04-01,662,12.812445018190989,School
6,2022-05-01,662,12.812445018190989,School
6,2022-06-01,662,12.812445018190989,School
6,2022-07-01,662,12.812445018190989,School
6,2022-08-01,662,12.812445018190989,School
6,2022-09-01,662,12.812445018190989,School
6,2022-10-01,662,12.812445018190989,School
6,2022-11-01,662,12.812445018190989,School
6,2022-12-01,662,12.812445018190989,School
6,2023-01-01,662,12.812445018190989,School
6,2023-02-01,662,12.812445018190989,School
6,2023-03-01,662,12.812445018190989,School
6,2023-04-01,662,12.812445018190989,School
6,2023-05-01,662,12.812445018190989,School
7,2022-03-01,662,12.812445018190989,School
7,2022-04-01,662,12.812445018190989,School
7,2022-05-01,662,12.812445018190989,School
7,2022-06-01,662,12.812445018190989,School
7,2022-07-01,662,12.812445018190989,School
7,2022-08-01,662,12.812445018190989,School
7,2022-09-01,662,12.812445018190989,School
7,2022-10-01,662,12.812445018190989,School
7,2022-11-01,662,12.812445018190989,School
7,2022-12-01,662,12.812445018190989,School
7,2023-01-01,662,12.812445018190989,School
7,2023-02-01,662,12.812445018190989,School
7,2023-03-01,662,12.812445018190989,School
7,2023-04-01,662,12.812445018190989,School
7,2023-05-01,662,12.812445018190989,School
8,2022-03-01,662,12.812445018190989,School
8,2022-04-01,662,12.812445018190989,School
8,2022-05-01,662,12.812445018190989,School
8,2022-06-01,662,12.812445018190989,School
8,2022-07-01,662,12.812445018190989,School
8,2022-08-01,662,12.812445018190989,School
8,2022-09-01,662,12.812445018190989,School
8,2022-10-01,662,12.812445018190989,School
8,2022-11-01,662,12.812445018190989,School
8,2022-12-01,662,12.812445018190989,School
8,2023-01-01,662,12.812445018190989,School
8,2023-02-01,662,12.812445018190989,School
8,2023-03-01,662,12.812445018190989,School
8,2023-04-01,662,12.812445018190989,School
8,2023-05-01,662,12.812445018190989,School
9,2022-03-01,943,91.14351384881228,School
9,2022-04-01,943,91.14351384881228,School
9,2022-05-01,943,91.14351384881228,School
9,2022-06-01,943,91.14351384881228,School
9,2022-07-01,943,91.14351384881228,School
9,2022-08-01,943,91.14351384881228,School
9,2022-09-01,943,91.14351384881228,School
9,2022-10-01,943,91.14351384881228,School
9,2022-11-01,943,91.14351384881228,School
9,2022-12-01,943,91.14351384881228,School
9,2023-01-01,943,91.14351384881228,School
9,2023-02-01,943,91.14351384881228,School
9,2023-03-01,943,91.14351384881228,School
9,2023-04-01,943,91.14351384881228,School
9,2023-05-01,943,91.14351384881228,School
10,2022-03-01,662,12.812445018190989,School
10,2022-04-01,662,12.812445018190989,School
10,2022-05-01,662,12.812445018190989,School
10,2022-06-01,662,12.812445018190989,School
10,2022-07-01,662,12.812445018190989,School
10,2022-08-01,662,12.812445018190989,School
10,2022-09-01,662,12.812445018190989,School
